,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,LOG PRICE,Chhattarpur,Chittaranjan Park,Common Wealth Games Village,Dilshad Garden,Dwarka,Greater Kailash,Hauz Khas,Kalkaji,Karol Bagh,Kirti Nagar,Lajpat Nagar,Laxmi Nagar,Mahavir Enclave,Malviya Nagar,Mathura Road,Mehrauli,New Friends Colony,Okhla,Other,Paschim Vihar,Patel Nagar,Rohini Sector,Safdarjung Enclave,Saket,Shahdara,Sheikh Sarai,Sultanpur,Uttam Nagar,Vasant Kunj,Vasundhara Enclave
33,1080.0,3,2.0,0.5,Lajpat Nagar,1.0,22500000,1,1,0,16.929025867174648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,750.0,2,2.0,0.0,Lajpat Nagar,1.0,13600000,1,1,0,16.42558035070628,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1450.0,3,3.0,0.5,Lajpat Nagar,2.0,30000000,1,1,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,900.0,2,2.0,0.5,Lajpat Nagar,1.0,13500000,1,1,1,16.41820024340866,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,810.0,2,2.0,0.5,Lajpat Nagar,1.0,8910000,1,0,0,16.002684799446993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1350.0,3,4.0,0.0,Lajpat Nagar,1.0,25000000,1,0,1,17.034386382832476,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1710.0,3,3.0,0.5,Lajpat Nagar,4.0,26000000,1,1,0,17.073607095985757,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1650.0,3,3.0,0.5,Lajpat Nagar,1.0,30000000,1,0,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1280.0,2,2.0,1.0,Lajpat Nagar,1.0,12500000,1,0,0,16.34123920227253,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1260.0,3,3.0,0.5,Lajpat Nagar,1.0,21000000,1,0,0,16.860032995687696,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1130.0,2,2.0,0.0,Lajpat Nagar,1.0,7800000,1,0,0,15.86963429165982,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,600.0,2,2.0,0.5,Lajpat Nagar,1.0,11500000,1,1,0,16.25785759333348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,850.0,2,2.0,0.5,Lajpat Nagar,1.0,11500000,1,0,0,16.25785759333348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1500.0,3,3.0,0.5,Lajpat Nagar,2.0,26000000,1,1,0,17.073607095985757,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,900.0,2,2.0,0.5,Lajpat Nagar,2.0,13000000,1,1,0,16.38045991542581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1000.0,3,3.0,0.5,Lajpat Nagar,1.0,22000000,1,1,0,16.90655301132259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,900.0,2,2.0,0.5,Lajpat Nagar,1.0,15800000,1,1,0,16.575520497997196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2925.0,4,4.0,0.0,Lajpat Nagar,2.0,57500000,1,1,0,17.86729550576758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,900.0,2,2.0,0.0,Lajpat Nagar,2.0,10000000,1,0,0,16.11809565095832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1600.0,3,3.0,0.0,Lajpat Nagar,2.0,30000000,1,1,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1143.0,3,3.0,0.0,Lajpat Nagar,2.0,22000000,1,1,0,16.90655301132259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1150.0,3,3.0,0.5,Lajpat Nagar,2.0,24000000,1,1,0,16.99356438831222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1500.0,3,3.0,0.5,Lajpat Nagar,1.0,31500000,1,0,0,17.26549810379586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,850.0,2,2.0,0.5,Lajpat Nagar,1.0,14600000,1,0,0,16.496532086678563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8000.0,4,5.0,0.5,Lajpat Nagar,1.0,240000000,1,1,0,19.296149481306266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,890.0,2,2.0,0.5,Lajpat Nagar,1.0,8300000,1,0,0,15.931766072766827,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1100.0,3,3.0,0.0,Lajpat Nagar,1.0,22500000,1,1,0,16.929025867174648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,750.0,1,1.0,1.0,Dwarka,2.0,4600000,1,0,1,15.341566861459324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,850.0,2,1.0,0.5,Dwarka,2.0,1900000,1,1,1,14.457364444136669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1350.0,3,2.0,0.0,Dwarka,1.0,5130000,1,1,1,15.450616217146953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1387.0,4,4.0,0.0,Dwarka,1.0,5890000,1,1,1,15.58876655562777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1050.0,3,2.0,0.0,Dwarka,1.0,3700000,1,1,1,15.123843377614453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1500.0,3,2.0,0.0,Dwarka,1.0,17400000,1,0,1,16.671980764184756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1200.0,3,3.0,0.5,Dwarka,1.0,15500000,1,0,1,16.556350581889475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,700.0,2,1.0,0.5,Dwarka,1.0,2400000,0,1,1,14.690979295318174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1700.0,3,2.0,0.5,Dwarka,1.0,17200000,1,0,1,16.660419941783683,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1550.0,3,2.0,1.0,Dwarka,2.0,14200000,1,0,1,16.46875252257149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1400.0,3,3.0,0.5,Dwarka,1.0,13500000,1,0,1,16.41820024340866,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1900.0,4,4.0,0.5,Dwarka,1.0,30000000,1,0,1,17.216707939626428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2160.0,4,3.0,0.0,Dwarka,1.0,21000000,1,0,1,16.860032995687696,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1700.0,4,3.0,0.0,Dwarka,1.0,20500000,1,0,1,16.835935444108635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1850.0,3,4.0,0.5,Dwarka,1.0,24000000,1,0,1,16.99356438831222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1800.0,4,2.0,0.5,Dwarka,1.0,16500000,1,0,1,16.61887093887081,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1620.0,3,2.0,0.5,Dwarka,1.0,14900000,1,0,1,16.51687177091569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1800.0,4,3.0,1.0,Dwarka,1.0,19200000,1,0,1,16.77042083699801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1540.0,3,3.0,0.5,Dwarka,1.0,14500000,1,0,1,16.489659207390805,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
